comparison,variant,run_seed,episode,seed,epsilon,episode_reward,extrinsic_reward,intrinsic_reward,learning_reward,steps,status,victory,death,death_cause,truncated,unique_states,unique_positions,visited_positions,q_table_states
intrinsic,intrinsic,333,117,449,0.885045045045045,3.0,3.0,0.014731308325774354,3.0147313083257714,277,victory,1,0,,0,44,39,0:0|0:1|1:0|2:0|3:0|3:1|3:2|3:5|4:2|4:3|4:4|4:5|4:6|5:0|5:1|5:2|5:4|5:5|6:0|6:1|6:2|6:4|7:0|7:2|7:3|7:4|7:5|7:6|7:7|7:8|7:9|8:4|8:5|8:8|8:9|9:3|9:4|9:5|9:9,375
intrinsic,intrinsic,333,118,450,0.884054054054054,3.0,3.0,0.010618225534786627,3.0106182255347864,169,victory,1,0,,0,43,34,0:0|0:1|0:2|1:0|1:2|2:0|2:2|3:0|3:1|3:2|4:2|4:3|4:4|5:0|5:1|5:2|6:0|6:1|6:2|6:8|7:2|7:3|7:4|7:5|7:6|7:7|7:8|7:9|8:5|8:7|8:8|9:7|9:8|9:9,375
intrinsic,intrinsic,333,119,451,0.883063063063063,2.0,2.0,0.017133981587406505,2.0171339815874054,300,truncated,0,0,,1,59,42,0:0|0:1|0:2|1:2|2:2|2:9|3:2|3:7|3:8|3:9|4:2|4:3|4:4|4:5|4:6|4:7|4:9|5:4|5:5|5:6|5:7|5:8|5:9|6:7|6:8|6:9|7:4|7:5|7:6|7:7|7:8|7:9|8:4|8:5|8:7|8:8|8:9|9:4|9:5|9:7|9:8|9:9,375
intrinsic,intrinsic,333,120,452,0.882072072072072,3.0,3.0,0.010465114776648117,3.010465114776647,204,victory,1,0,,0,37,31,0:0|0:1|0:2|1:0|1:2|2:0|2:2|3:0|3:2|4:2|5:0|5:1|5:2|6:0|6:1|6:2|7:0|7:2|7:3|7:4|7:5|7:6|7:7|7:8|7:9|8:0|8:5|8:8|8:9|9:8|9:9,375
intrinsic,intrinsic,333,121,453,0.8810810810810811,3.0,3.0,0.015598072521225696,3.015598072521226,286,victory,1,0,,0,61,46,0:0|0:1|0:2|1:0|1:2|2:0|2:2|2:3|2:4|2:5|3:0|3:1|3:2|3:5|4:2|4:3|4:4|4:5|4:6|4:7|5:0|5:1|5:2|5:4|5:7|5:8|6:0|6:1|6:2|6:4|6:7|6:8|6:9|7:2|7:3|7:4|7:5|7:6|7:7|7:8|7:9|8:7|8:8|9:7|9:8|9:9,375
intrinsic,intrinsic,333,122,454,0.8800900900900901,3.0,3.0,0.01737335555199208,3.017373355551989,286,victory,1,0,,0,66,48,0:0|0:1|0:2|1:0|1:2|2:0|2:2|3:0|3:1|3:2|4:2|4:3|4:4|4:5|4:6|4:7|4:9|5:0|5:1|5:2|5:4|5:5|5:6|5:7|5:8|5:9|6:0|6:1|6:2|6:4|6:7|6:8|6:9|7:0|7:2|7:3|7:4|7:5|7:6|7:7|7:8|7:9|8:0|8:5|8:7|8:8|8:9|9:9,376
intrinsic,intrinsic,333,123,455,0.8790990990990991,2.0,2.0,0.017406882732379992,2.0174068827323794,300,truncated,0,0,,1,58,41,0:0|0:1|0:2|0:4|0:5|1:0|1:2|1:4|1:5|2:0|2:2|2:3|2:4|2:5|3:0|3:1|3:2|3:5|4:3|4:4|4:5|4:6|4:7|5:4|5:5|5:6|5:7|5:8|5:9|6:7|6:8|6:9|7:7|7:8|7:9|8:7|8:8|8:9|9:7|9:8|9:9,376
intrinsic,intrinsic,333,124,456,0.8781081081081081,3.0,3.0,0.015043188570026596,3.015043188570024,262,victory,1,0,,0,49,42,0:0|0:1|0:2|1:0|1:2|2:0|2:2|3:0|3:1|3:2|4:2|4:3|4:4|4:5|5:0|5:1|5:2|5:4|5:5|5:6|5:7|5:9|6:0|6:1|6:2|6:4|6:7|6:8|6:9|7:0|7:2|7:3|7:4|7:5|7:6|7:7|7:8|7:9|8:7|8:8|8:9|9:9,376
intrinsic,intrinsic,333,125,457,0.8771171171171172,3.0,3.0,0.009677171396560139,3.009677171396558,141,victory,1,0,,0,46,41,0:0|0:1|0:2|1:2|2:2|3:1|3:2|4:2|4:9|5:0|5:1|5:2|5:4|5:5|5:6|5:7|5:8|5:9|6:0|6:1|6:2|6:4|6:8|6:9|7:2|7:3|7:4|7:5|7:6|7:7|7:8|7:9|8:4|8:5|8:7|8:9|9:4|9:5|9:7|9:8|9:9,376
intrinsic,intrinsic,333,126,458,0.8761261261261262,3.0,3.0,0.012799276003148865,3.0127992760031477,208,victory,1,0,,0,50,46,0:0|0:1|0:2|0:4|1:0|1:2|1:4|1:5|2:0|2:2|2:3|2:4|2:5|3:0|3:1|3:2|3:5|4:2|4:3|4:4|4:5|4:6|4:7|5:0|5:1|5:2|5:4|5:5|5:6|5:7|5:8|5:9|6:1|6:2|6:4|6:9|7:2|7:3|7:4|7:6|7:7|7:8|7:9|8:8|8:9|9:9,376
intrinsic,intrinsic,333,127,459,0.8751351351351352,2.0,2.0,0.01822113963453474,2.018221139634531,300,truncated,0,0,,1,68,49,0:0|0:1|0:2|0:4|0:5|0:6|1:2|1:4|1:5|2:2|2:3|2:4|2:5|3:5|3:7|4:2|4:3|4:4|4:5|4:6|4:7|5:0|5:1|5:2|5:4|5:5|5:6|5:7|5:8|6:1|6:2|6:4|6:7|6:8|7:3|7:4|7:5|7:6|7:7|7:8|8:4|8:5|8:7|8:8|8:9|9:5|9:7|9:8|9:9,380
intrinsic,intrinsic,333,128,460,0.8741441441441442,3.0,3.0,0.008918122068734246,3.0089181220687324,136,victory,1,0,,0,36,30,0:0|0:1|0:2|1:2|2:2|3:2|4:2|5:0|5:1|5:2|6:1|6:2|6:4|7:2|7:3|7:4|7:5|7:6|7:7|7:9|8:4|8:5|8:7|8:8|8:9|9:4|9:5|9:7|9:8|9:9,380
intrinsic,intrinsic,333,129,461,0.8731531531531531,3.0,3.0,0.011256736147467777,3.011256736147466,196,victory,1,0,,0,39,36,0:0|1:0|2:0|3:0|3:1|3:2|4:2|4:3|5:0|5:1|5:2|6:0|6:1|6:2|7:0|7:2|7:3|7:4|7:5|7:6|7:7|7:8|7:9|8:0|8:4|8:5|8:8|8:9|9:0|9:1|9:2|9:3|9:4|9:5|9:8|9:9,380
intrinsic,intrinsic,333,130,462,0.8721621621621621,3.0,3.0,0.010623001811580409,3.010623001811579,163,victory,1,0,,0,45,40,0:0|1:0|2:0|2:2|2:3|2:4|2:5|3:0|3:1|3:2|4:2|4:3|4:4|5:0|5:1|5:2|5:8|6:0|6:1|6:2|6:4|6:7|6:8|7:2|7:3|7:4|7:5|7:6|7:7|7:8|7:9|8:4|8:5|8:7|8:8|8:9|9:5|9:7|9:8|9:9,380
intrinsic,intrinsic,333,131,463,0.8711711711711712,1.0,1.0,0.01635108942365615,1.0163510894236554,300,truncated,0,0,,1,52,39,0:0|0:1|0:2|0:4|0:5|1:0|1:2|1:4|1:5|2:0|2:2|2:3|2:4|3:0|3:1|3:2|4:2|4:3|4:4|4:5|5:0|5:1|5:2|5:4|5:5|5:6|6:1|6:2|6:4|7:2|7:3|7:4|7:5|7:6|8:4|8:5|9:3|9:4|9:5,380
intrinsic,intrinsic,333,132,464,0.8701801801801802,3.0,3.0,0.006442355622058271,3.006442355622058,105,victory,1,0,,0,28,26,0:0|0:1|0:2|1:2|2:2|3:2|4:2|4:3|5:0|5:1|5:2|6:0|6:1|6:2|6:4|7:0|7:2|7:3|7:4|7:5|7:6|7:7|7:8|7:9|8:9|9:9,380
