#{"t_start": 1788109567.4635227, "env_id": "None"}
r,l,t,phase,player_health,episode_enemies_destroyed,episode_spawners_destroyed,episode_phases_advanced,episode_damage_taken,episode_xp_earned,episode_max_level
-18.565122,149,40.412806,1,0.0,3,1,0,112.0,65.0,2
-37.621208,90,40.561806,1,0.0,0,0,0,112.0,0.0,1
-38.674239,151,40.831805,1,0.0,0,0,0,112.0,0.0,1
124.718927,484,41.679811,3,0.0,17,5,2,108.86400000000002,395.0,5
-36.636071,209,43.150805,1,0.0,2,0,0,112.0,20.0,1
-35.81375,97,43.32981,1,0.0,2,0,0,112.0,20.0,1
-32.935912,170,43.637808,1,0.0,2,0,0,112.0,20.0,1
-34.092886,147,43.902811,1,0.0,2,0,0,112.0,20.0,1
-18.165393,263,44.411805,1,0.0,5,1,0,112.0,85.0,2
-35.754123,169,44.709807,1,0.0,3,0,0,126.0,30.0,1
-36.291267,146,44.972806,1,0.0,1,0,0,112.0,10.0,1
-22.386691,103,45.145805,1,0.0,1,1,0,112.0,45.0,2
-36.566164,141,45.407806,1,0.0,1,0,0,112.0,10.0,1
61.204524,240,45.807806,2,0.0,6,4,1,101.92,225.0,4
-35.503743,168,46.142806,1,0.0,1,0,0,112.0,10.0,1
-38.085714,79,46.290807,1,0.0,0,0,0,112.0,0.0,1
22.059888,210,46.664805,2,0.0,3,2,1,143.92000000000002,125.0,3
-35.758255,127,46.901805,1,0.0,1,0,0,112.0,10.0,1
-37.185503,120,47.145806,1,0.0,0,0,0,112.0,0.0,1
-35.413326,183,47.573806,1,0.0,1,0,0,112.0,10.0,1
41.611865,335,48.279807,2,0.0,15,2,1,101.36000000000001,245.0,4
-39.025251,168,48.631806,1,0.0,0,0,0,126.0,0.0,1
-20.305019,196,49.024806,1,0.0,2,1,0,112.0,55.0,2
-34.059342,162,49.375806,1,0.0,2,0,0,112.0,20.0,1
-32.564373,160,49.706806,1,0.0,2,0,0,112.0,20.0,1
-37.469232,148,50.018813,1,0.0,1,0,0,112.0,10.0,1
-22.544757,125,50.247806,1,0.0,1,1,0,110.88,45.0,2
-24.072328,110,50.480806,1,0.0,0,1,0,112.0,35.0,1
-19.950151,277,51.104805,1,0.0,3,1,0,112.0,65.0,2
-23.875317,152,51.423805,1,0.0,0,1,0,112.0,35.0,1
-22.289959,142,51.709807,1,0.0,1,1,0,112.0,45.0,2
-15.665098,241,52.183806,1,0.0,6,1,0,112.0,95.0,2
-22.592778,140,52.463807,1,0.0,1,1,0,112.0,45.0,2
-24.636426,143,52.749806,1,0.0,1,1,0,140.0,45.0,2
-18.306963,177,53.12081,1,0.0,2,1,0,112.0,55.0,2
-18.869372,207,53.541806,1,0.0,4,1,0,112.0,75.0,2
-39.445276,120,53.770806,1,0.0,0,0,0,126.0,0.0,1
107.018688,539,54.730808,3,0.0,16,5,2,251.66400000000004,385.0,5
214.331941,592,55.866805,4,0.0,31,8,3,178.19200000000006,665.0,7
-33.003641,187,56.207805,1,0.0,3,0,0,112.0,30.0,1
50.08742,373,56.881806,2,0.0,10,3,1,101.36000000000001,230.0,4
-36.935975,167,57.201807,1,0.0,0,0,0,112.0,0.0,1
-17.861859,213,57.596805,1,0.0,4,1,0,110.88,75.0,2
-19.214438,176,57.90081,1,0.0,4,1,0,112.0,75.0,2
119.881861,485,58.802806,3,0.0,18,5,2,152.544,405.0,5
162.629997,493,59.725808,4,0.0,17,6,3,230.04800000000006,455.0,6
66.37977,334,60.324808,2,0.0,9,4,1,101.36000000000001,255.0,4
-21.960512,218,60.745806,1,0.0,1,1,0,112.0,45.0,2
-23.292313,140,61.000808,1,0.0,0,1,0,112.0,35.0,1
-34.31805,147,61.250805,1,0.0,2,0,0,112.0,20.0,1
-20.478372,172,61.546805,1,0.0,2,1,0,112.0,55.0,2
-34.614973,98,61.711806,1,0.0,1,0,0,112.0,10.0,1
-33.789072,132,61.932806,1,0.0,2,0,0,112.0,20.0,1
-34.693075,122,62.170805,1,0.0,1,0,0,112.0,10.0,1
-20.458308,146,62.441805,1,0.0,2,1,0,112.0,55.0,2
-17.386675,142,62.697805,1,0.0,4,1,0,112.0,75.0,2
-20.388479,161,63.011806,1,0.0,4,1,0,126.0,75.0,2
-22.582099,125,63.227805,1,0.0,1,1,0,112.0,45.0,2
-17.645399,157,63.510806,1,0.0,4,1,0,112.0,75.0,2
-20.81173,161,63.79381,1,0.0,2,1,0,112.0,55.0,2
-22.20306,119,64.021805,1,0.0,1,1,0,112.0,45.0,2
