#{"t_start": 1788106229.0145102, "env_id": "None"}
r,l,t,phase,player_health,episode_enemies_destroyed,episode_spawners_destroyed,episode_phases_advanced,episode_damage_taken,episode_xp_earned,episode_max_level
66.530944,341,191.700574,2,0.0,14,4,1,101.92,305.0,4
116.522939,293,192.289572,3,0.0,13,5,2,102.37696000000003,355.0,5
56.220651,397,198.072577,2,0.0,8,4,1,186.48000000000002,245.0,4
132.411457,688,199.456573,3,0.0,22,5,2,154.32704000000004,445.0,5
202.841693,535,200.727576,4,0.0,19,8,3,152.74112000000002,545.0,6
41.286152,377,201.443573,2,0.0,6,3,1,143.92000000000002,190.0,3
156.964081,342,202.075574,4,0.0,8,6,3,150.30400000000003,365.0,5
49.44068,404,202.867578,2,0.0,12,3,1,143.472,250.0,4
349.833421,628,204.145573,5,0.0,34,14,4,127.67999999999998,930.0,8
128.808557,946,205.926574,3,0.0,36,5,2,233.52000000000004,585.0,6
192.96514,437,206.769572,4,0.0,19,8,3,235.64800000000008,545.0,6
29.43585,172,207.073573,2,0.0,4,2,1,101.36000000000001,135.0,3
59.192527,234,207.469572,2,0.0,5,4,1,101.36000000000001,215.0,4
218.458553,456,208.362575,4,0.0,17,9,3,109.76000000000002,560.0,6
202.386859,539,209.473624,4,0.0,25,8,3,216.72000000000006,605.0,6
107.727999,336,210.106577,3,0.0,9,5,2,148.96000000000004,315.0,5
56.016875,430,210.962573,2,0.0,16,3,1,101.92,290.0,4
262.728649,701,212.447572,4,0.0,44,10,3,170.46400000000003,865.0,8
-22.55926,237,212.910573,1,0.0,1,1,0,112.0,45.0,2
139.240894,1047,214.857573,3,0.0,36,5,2,159.936,585.0,6
-19.411079,157,215.164572,1,0.0,3,1,0,112.0,65.0,2
-13.030813,598,216.364572,1,0.0,8,1,0,112.0,115.0,3
229.885009,470,217.271572,4,0.0,25,10,3,261.7440000000001,675.0,7
186.171168,807,218.861572,4,0.0,35,6,3,170.46400000000003,635.0,7
-22.235512,220,219.260572,1,0.0,1,1,0,112.0,45.0,2
39.858757,327,219.925572,2,0.0,15,2,1,101.92,245.0,4
45.168633,231,220.351572,2,0.0,6,3,1,101.36000000000001,190.0,3
-24.570442,185,220.709574,1,0.0,0,1,0,112.0,35.0,1
211.022697,594,221.844573,4,0.0,29,8,3,183.008,645.0,7
204.240488,662,223.118625,4,0.0,23,8,3,156.46400000000003,585.0,6
204.111572,594,224.242572,4,0.0,21,8,3,198.24000000000004,565.0,6
